"","<1y","1-5y","6-14y","15-20y","21-49y","50+"
"<1y",0.209302325581395,0.548387096774194,0.561224489795918,0.494505494505495,0.669064748201439,0.39344262295082
"1-5y",2.7093023255814,4.44086021505376,3.78571428571429,2.02197802197802,2.48920863309353,1.49180327868852
"6-14y",4.61627906976744,5.96774193548387,8.94897959183673,5.49450549450549,3.13669064748201,2.45901639344262
"15-20y",1.34883720930233,1.47311827956989,2.30612244897959,5.20879120879121,2.10791366906475,1.42622950819672
"21-49y",4.04651162790698,4.06451612903226,3.62244897959184,5.01098901098901,8.24460431654676,6.01639344262295
"50+",0.953488372093023,1.10752688172043,0.877551020408163,1.14285714285714,2.27338129496403,2.11475409836066
