"","<1y","1-5y","6-17y","18-49y","50+"
"<1y",0,0.0419847328244275,0.012396694214876,0.0291970802919708,0.0119904076738609
"1-5y",0.411764705882353,0.961832061068702,0.225206611570248,0.300486618004866,0.258992805755396
"6-17y",0.529411764705882,1.14503816793893,4.03512396694215,0.880778588807786,0.594724220623501
"18-49y",2.64705882352941,3.34732824427481,2.66322314049587,4.39902676399027,2.92565947242206
"50+",1.41176470588235,1.20992366412214,0.68801652892562,1.18978102189781,1.84412470023981
