"local_id","p_agegp","agegp1","agegp2","agegp3","agegp4","agegp5"
13800142,"agegp4",NA,NA,NA,4,NA
13800143,"agegp3",NA,NA,8,1,1
13800144,"agegp5",NA,NA,NA,5,8
13800145,"agegp4",NA,NA,NA,1,5
13800146,"agegp5",NA,NA,NA,1,3
13800147,"agegp2",NA,1,1,7,2
13800148,"agegp4",NA,NA,2,2,2
13800149,"agegp4",NA,NA,1,6,1
13800150,"agegp3",NA,NA,5,4,NA
13800151,"agegp4",NA,NA,2,4,1
13800152,"agegp5",NA,NA,NA,1,3
13800153,"agegp5",NA,NA,NA,4,2
13800154,"agegp5",NA,1,1,5,NA
13800155,"agegp4",NA,NA,5,5,NA
13800156,"agegp4",NA,NA,1,6,NA
13800157,"agegp4",NA,NA,NA,6,1
13800158,"agegp5",NA,NA,NA,3,3
13800159,"agegp5",NA,1,1,7,NA
13800160,"agegp5",NA,1,1,1,1
13800161,"agegp4",NA,NA,NA,3,2
13800162,"agegp4",NA,NA,2,5,2
13800163,"agegp2",NA,NA,NA,2,1
13800164,"agegp5",NA,NA,NA,4,2
13800165,"agegp5",NA,NA,NA,5,2
13800166,"agegp4",NA,NA,4,6,1
13800167,"agegp5",NA,1,1,4,3
13800168,"agegp4",NA,NA,1,9,2
13800169,"agegp5",NA,NA,NA,1,3
13800170,"agegp5",NA,NA,1,1,2
13800171,"agegp3",NA,1,8,2,NA
13800172,"agegp3",NA,NA,7,2,1
13800173,"agegp4",NA,NA,NA,9,4
13800174,"agegp4",NA,NA,1,4,2
13800175,"agegp4",NA,NA,1,4,2
13800176,"agegp2",NA,NA,1,4,1
13800177,"agegp5",NA,NA,NA,NA,2
13800178,"agegp4",NA,NA,NA,13,2
13800179,"agegp4",NA,NA,NA,1,1
13800180,"agegp2",NA,6,3,4,1
13800181,"agegp5",NA,NA,NA,1,3
13800182,"agegp5",NA,NA,NA,1,4
13800183,"agegp4",NA,NA,NA,11,4
13800184,"agegp3",NA,NA,4,2,1
