"local_id","p_agegp","agegp1","agegp2","agegp3","agegp4","agegp5","agegp6"
1141,"agegp4",NA,NA,5,6,1,NA
1142,"agegp4",NA,NA,5,12,NA,NA
1143,"agegp3",NA,NA,NA,1,1,2
1144,"agegp3",NA,NA,1,2,1,1
1145,"agegp4",NA,NA,4,2,6,NA
1146,"agegp3",NA,NA,2,NA,2,2
1147,"agegp4",NA,NA,NA,7,NA,NA
1148,"agegp4",NA,NA,NA,1,1,NA
1150,"agegp4",NA,NA,1,1,1,2
1151,"agegp4",NA,NA,1,2,1,NA
1152,"agegp3",NA,NA,3,NA,3,1
1153,"agegp3",NA,NA,6,NA,2,1
1154,"agegp3",NA,1,1,NA,NA,NA
1155,"agegp3",NA,NA,11,1,1,NA
1156,"agegp3",NA,NA,4,NA,2,NA
1157,"agegp4",NA,NA,2,12,5,1
1158,"agegp4",NA,NA,2,NA,3,1
1159,"agegp4",NA,NA,2,1,3,NA
1160,"agegp4",NA,NA,NA,5,1,NA
1161,"agegp3",NA,1,1,NA,2,NA
1162,"agegp3",NA,3,1,NA,4,NA
1163,"agegp3",NA,NA,7,2,2,NA
1165,"agegp4",NA,1,4,3,1,NA
1166,"agegp4",NA,NA,1,NA,2,NA
1167,"agegp4",NA,NA,7,7,1,NA
1168,"agegp3",NA,NA,1,NA,1,NA
1169,"agegp4",NA,2,1,NA,1,NA
1170,"agegp3",NA,1,4,NA,2,NA
1171,"agegp3",1,1,NA,NA,1,NA
1172,"agegp3",NA,NA,5,NA,2,1
1173,"agegp3",NA,NA,13,NA,3,NA
1174,"agegp4",NA,NA,NA,1,NA,2
1175,"agegp4",NA,NA,NA,1,1,NA
1176,"agegp3",NA,1,5,NA,4,NA
1177,"agegp3",NA,NA,6,1,1,1
1178,"agegp3",NA,NA,NA,1,2,NA
1179,"agegp3",NA,NA,NA,3,2,2
1180,"agegp3",NA,NA,NA,1,1,NA
1181,"agegp4",NA,NA,NA,3,1,NA
1182,"agegp4",NA,NA,NA,2,1,NA
1183,"agegp3",NA,NA,NA,NA,2,NA
1184,"agegp4",NA,NA,1,7,2,NA
1185,"agegp4",NA,NA,1,2,1,1
1186,"agegp4",NA,NA,NA,1,2,2
1187,"agegp3",NA,NA,NA,NA,1,NA
1188,"agegp4",NA,NA,2,9,8,4
1189,"agegp3",NA,1,3,NA,2,NA
1192,"agegp3",NA,NA,7,NA,2,NA
1193,"agegp3",NA,1,5,NA,1,NA
1194,"agegp3",NA,1,3,NA,1,1
1195,"agegp3",NA,NA,5,NA,2,NA
1198,"agegp4",NA,NA,NA,3,2,NA
1199,"agegp3",NA,NA,11,1,4,NA
1200,"agegp4",NA,NA,12,1,2,NA
1201,"agegp4",NA,NA,NA,5,3,NA
1202,"agegp4",NA,NA,1,6,3,NA
1203,"agegp4",NA,NA,2,4,3,NA
1204,"agegp3",NA,1,2,NA,2,NA
1205,"agegp4",NA,NA,1,1,NA,NA
1207,"agegp4",NA,NA,3,1,2,NA
1208,"agegp4",NA,NA,NA,2,NA,NA
1209,"agegp4",NA,NA,1,6,2,1
1210,"agegp4",NA,NA,1,3,NA,NA
