"local_id","p_agegp","agegp1","agegp2","agegp3","agegp4","agegp5","agegp6"
393,"agegp5",NA,1,NA,2,6,3
395,"agegp2",1,3,NA,NA,2,NA
397,"agegp1",NA,4,8,NA,8,1
402,"agegp2",NA,9,5,NA,2,1
404,"agegp3",NA,2,2,NA,1,1
406,"agegp1",NA,6,1,1,2,1
407,"agegp2",1,7,9,NA,6,NA
408,"agegp2",NA,8,10,2,6,1
412,"agegp5",1,2,1,4,4,3
413,"agegp4",1,3,10,6,14,3
419,"agegp2",NA,6,6,2,1,2
420,"agegp2",NA,1,4,NA,3,1
423,"agegp4",1,1,7,NA,8,NA
425,"agegp5",NA,2,6,NA,5,3
426,"agegp4",NA,1,NA,2,3,NA
433,"agegp6",NA,1,NA,1,4,2
435,"agegp5",2,NA,NA,NA,10,NA
436,"agegp4",2,7,7,11,3,3
441,"agegp2",2,1,2,NA,5,NA
442,"agegp1",NA,4,7,NA,1,NA
443,"agegp6",NA,2,1,1,1,NA
445,"agegp1",NA,NA,8,2,3,NA
446,"agegp4",NA,NA,NA,5,6,2
447,"agegp1",1,2,3,2,4,1
449,"agegp5",NA,2,NA,NA,1,4
450,"agegp5",3,6,6,6,11,3
453,"agegp6",2,NA,7,4,11,1
455,"agegp4",NA,NA,2,1,NA,NA
458,"agegp3",NA,3,2,5,6,1
459,"agegp1",NA,3,8,2,3,NA
464,"agegp2",1,1,2,2,2,3
465,"agegp5",3,NA,1,NA,2,2
466,"agegp1",1,NA,4,NA,1,1
468,"agegp2",NA,NA,10,NA,3,1
469,"agegp5",NA,3,1,4,17,NA
470,"agegp2",NA,3,2,2,3,2
478,"agegp4",2,6,11,5,4,2
479,"agegp1",3,6,5,NA,4,NA
480,"agegp5",NA,NA,2,2,16,NA
482,"agegp5",1,NA,1,1,3,1
483,"agegp2",3,13,25,6,16,4
487,"agegp1",NA,2,4,NA,1,NA
489,"agegp1",NA,2,5,1,5,NA
491,"agegp5",1,3,1,2,11,2
492,"agegp5",NA,NA,NA,3,4,NA
493,"agegp1",NA,1,2,2,6,2
495,"agegp3",NA,6,4,3,5,1
496,"agegp3",NA,3,7,1,5,1
498,"agegp3",4,7,24,4,6,2
499,"agegp6",NA,1,1,1,3,4
500,"agegp1",NA,3,2,1,4,NA
502,"agegp5",1,1,NA,2,5,1
504,"agegp4",NA,NA,8,7,1,1
505,"agegp3",NA,1,6,NA,3,NA
506,"agegp3",1,7,12,2,11,7
508,"agegp1",NA,4,NA,3,6,3
509,"agegp5",1,2,1,6,11,2
510,"agegp4",3,6,24,3,6,1
515,"agegp4",NA,NA,5,NA,1,1
517,"agegp4",NA,1,9,11,11,2
518,"agegp4",NA,1,8,9,4,1
519,"agegp2",NA,2,5,1,3,NA
521,"agegp3",NA,13,3,NA,1,NA
522,"agegp2",NA,5,3,NA,11,NA
523,"agegp3",NA,9,2,NA,2,NA
524,"agegp4",1,10,9,3,14,NA
525,"agegp4",NA,3,3,1,3,2
527,"agegp2",NA,1,3,1,1,NA
529,"agegp5",1,11,10,1,12,4
530,"agegp5",1,1,NA,NA,3,3
533,"agegp3",1,4,5,1,2,NA
534,"agegp2",NA,23,14,2,9,2
537,"agegp1",NA,2,6,3,8,NA
538,"agegp5",5,6,15,7,13,4
540,"agegp3",2,NA,10,3,7,1
541,"agegp2",NA,5,8,1,2,1
542,"agegp3",1,2,7,1,1,NA
543,"agegp1",1,7,14,NA,7,NA
544,"agegp6",NA,2,2,NA,14,1
546,"agegp2",NA,4,12,2,1,1
547,"agegp6",NA,1,8,1,3,NA
550,"agegp3",NA,1,1,3,2,NA
551,"agegp6",NA,4,NA,3,5,4
553,"agegp3",NA,2,10,8,2,NA
556,"agegp5",NA,4,1,2,5,2
557,"agegp6",1,2,2,NA,4,3
561,"agegp1",NA,4,9,1,5,1
562,"agegp2",1,8,4,1,1,NA
563,"agegp3",NA,10,24,NA,4,NA
564,"agegp2",NA,3,4,NA,2,1
565,"agegp4",NA,2,5,NA,2,1
567,"agegp1",NA,3,2,NA,4,NA
568,"agegp6",NA,3,15,4,6,3
570,"agegp2",NA,4,43,2,13,1
571,"agegp2",NA,5,8,NA,4,1
572,"agegp3",3,13,10,1,7,2
573,"agegp3",NA,1,9,5,1,NA
574,"agegp4",1,2,4,1,3,NA
575,"agegp3",NA,2,3,3,4,1
576,"agegp5",NA,3,3,2,4,1
579,"agegp1",NA,3,1,1,5,3
581,"agegp1",NA,2,4,1,4,NA
583,"agegp2",NA,2,6,1,4,NA
584,"agegp4",NA,1,2,12,4,2
586,"agegp5",NA,3,5,3,1,NA
587,"agegp5",1,7,10,NA,11,1
590,"agegp3",NA,5,18,7,NA,NA
593,"agegp1",NA,2,5,3,7,NA
594,"agegp4",NA,2,5,5,1,1
595,"agegp3",1,3,11,6,4,NA
596,"agegp2",1,6,10,3,NA,2
597,"agegp2",NA,3,5,1,4,NA
598,"agegp1",NA,2,5,1,2,2
599,"agegp3",1,7,6,2,4,NA
600,"agegp5",NA,2,4,NA,4,NA
601,"agegp1",NA,5,6,6,4,2
603,"agegp3",NA,NA,23,NA,1,1
604,"agegp5",3,4,20,9,13,6
605,"agegp3",NA,NA,2,NA,NA,1
609,"agegp6",NA,3,4,1,3,2
614,"agegp2",2,7,7,3,10,3
617,"agegp2",NA,2,4,8,12,NA
622,"agegp4",1,NA,2,5,NA,NA
624,"agegp2",2,3,4,NA,1,2
626,"agegp1",NA,NA,NA,NA,2,1
628,"agegp5",NA,7,10,1,10,7
631,"agegp3",1,4,5,NA,5,2
632,"agegp3",NA,8,7,3,6,1
633,"agegp2",3,6,11,4,6,NA
634,"agegp4",1,1,11,4,9,2
635,"agegp3",NA,4,30,2,2,1
636,"agegp3",NA,3,16,NA,6,6
637,"agegp5",NA,NA,NA,NA,3,1
639,"agegp5",2,1,2,3,4,NA
640,"agegp5",NA,2,8,2,31,12
641,"agegp6",NA,NA,2,NA,4,NA
643,"agegp5",1,3,1,NA,3,NA
644,"agegp5",1,1,3,NA,8,1
645,"agegp6",1,4,4,2,7,1
646,"agegp4",1,2,7,4,1,NA
647,"agegp4",1,6,11,10,14,4
648,"agegp2",NA,1,13,NA,5,NA
649,"agegp1",1,6,7,NA,3,NA
651,"agegp5",NA,NA,1,1,9,4
654,"agegp3",7,10,8,12,9,7
655,"agegp1",NA,2,6,2,1,2
656,"agegp4",2,3,9,21,9,1
658,"agegp4",NA,2,6,6,4,1
659,"agegp6",NA,NA,NA,NA,3,1
660,"agegp2",1,18,4,NA,2,NA
661,"agegp6",NA,1,NA,NA,3,2
662,"agegp3",NA,4,14,1,3,2
664,"agegp3",NA,9,12,NA,3,NA
665,"agegp5",NA,3,3,3,10,NA
667,"agegp5",NA,2,1,NA,5,6
668,"agegp5",NA,NA,1,1,14,4
670,"agegp3",NA,3,10,1,3,NA
671,"agegp1",NA,1,1,NA,4,NA
674,"agegp3",NA,1,10,3,1,NA
676,"agegp5",NA,2,2,NA,1,1
677,"agegp2",NA,6,12,3,2,NA
680,"agegp3",3,4,6,1,4,1
681,"agegp6",NA,NA,NA,NA,6,1
682,"agegp5",1,1,2,1,2,1
683,"agegp6",NA,NA,NA,1,2,3
684,"agegp5",NA,1,NA,NA,3,1
685,"agegp4",NA,1,NA,NA,2,NA
686,"agegp1",NA,NA,3,2,4,1
687,"agegp2",1,7,2,NA,3,1
691,"agegp1",3,10,14,7,4,NA
692,"agegp4",NA,1,9,1,1,1
694,"agegp5",NA,2,NA,NA,3,NA
695,"agegp5",NA,NA,NA,6,10,NA
696,"agegp5",2,6,7,10,9,NA
697,"agegp1",NA,1,6,1,2,NA
698,"agegp2",NA,2,3,1,2,2
699,"agegp6",NA,1,2,1,1,NA
701,"agegp5",NA,1,1,2,9,1
702,"agegp1",NA,1,1,3,3,2
704,"agegp4",NA,NA,1,1,4,2
705,"agegp5",1,1,NA,NA,4,NA
706,"agegp1",NA,1,4,1,5,1
707,"agegp5",1,7,2,1,9,1
710,"agegp6",2,1,2,NA,2,3
711,"agegp3",1,1,6,2,2,NA
713,"agegp5",NA,NA,1,2,9,3
717,"agegp1",NA,NA,5,1,1,NA
718,"agegp3",NA,2,11,3,NA,1
723,"agegp1",NA,5,8,1,3,NA
725,"agegp3",NA,6,10,NA,5,1
727,"agegp1",NA,NA,1,2,2,3
728,"agegp5",NA,12,17,11,22,6
729,"agegp4",NA,1,1,1,NA,NA
730,"agegp1",NA,4,2,NA,3,NA
732,"agegp5",NA,2,5,NA,7,1
733,"agegp3",1,2,8,2,4,NA
734,"agegp1",NA,3,1,NA,1,1
735,"agegp5",2,3,1,NA,3,NA
739,"agegp2",NA,2,1,NA,1,1
740,"agegp1",NA,7,3,3,7,3
741,"agegp1",NA,1,3,NA,2,NA
742,"agegp4",NA,NA,3,4,2,1
746,"agegp1",NA,3,NA,NA,3,1
747,"agegp2",NA,2,5,NA,1,1
748,"agegp3",NA,5,7,1,3,NA
753,"agegp1",NA,NA,9,NA,2,NA
755,"agegp5",1,3,1,2,7,1
756,"agegp4",NA,NA,16,7,1,1
759,"agegp1",NA,4,6,NA,5,2
760,"agegp5",NA,NA,NA,1,11,1
763,"agegp1",NA,6,5,3,7,1
765,"agegp5",1,3,7,2,15,2
766,"agegp6",NA,5,5,4,12,5
767,"agegp3",NA,3,23,3,NA,NA
768,"agegp1",NA,3,10,1,3,NA
769,"agegp5",NA,1,2,2,3,NA
772,"agegp5",3,2,2,3,2,2
775,"agegp3",1,11,12,1,4,NA
779,"agegp1",NA,2,3,NA,1,NA
781,"agegp5",NA,6,9,4,17,5
782,"agegp6",3,1,1,4,9,1
784,"agegp2",NA,NA,NA,NA,4,NA
785,"agegp1",NA,4,17,NA,3,1
786,"agegp6",3,1,2,4,3,NA
788,"agegp3",NA,11,8,1,2,NA
790,"agegp5",6,11,11,4,6,4
791,"agegp3",2,4,14,5,1,NA
792,"agegp6",NA,1,2,NA,8,3
793,"agegp4",3,9,17,17,14,5
794,"agegp6",NA,NA,2,1,13,NA
796,"agegp2",NA,2,2,2,2,1
800,"agegp6",NA,1,5,NA,9,5
805,"agegp2",NA,7,7,2,3,3
807,"agegp5",2,NA,7,2,4,NA
808,"agegp1",NA,NA,3,NA,2,2
810,"agegp3",1,2,10,3,7,2
811,"agegp5",2,4,8,3,1,1
812,"agegp2",1,13,2,3,9,4
813,"agegp6",1,NA,NA,NA,1,1
817,"agegp1",NA,NA,5,2,1,NA
819,"agegp6",1,19,20,2,13,3
821,"agegp6",NA,4,6,NA,5,2
822,"agegp5",NA,4,1,NA,11,2
823,"agegp1",NA,2,4,NA,2,1
824,"agegp3",NA,4,9,1,4,1
830,"agegp2",1,2,3,NA,2,NA
831,"agegp2",NA,1,3,2,3,NA
