"","<1y","1-5y","6-17y","18+"
"<1y",0.0714285714285714,0.0824742268041237,0.032258064516129,0.0320284697508897
"1-5y",0.5,1.74226804123711,0.56221198156682,0.320284697508897
"6-17y",0.285714285714286,1.03092783505155,4.04147465437788,0.546263345195729
"18+",3.78571428571429,3.5360824742268,2.59907834101382,2.82562277580071
