"local_id","p_agegp","agegp1","agegp2","agegp3","agegp4"
1345,"agegp3",NA,NA,2,2
1346,"agegp3",NA,NA,4,2
1347,"agegp3",NA,1,24,5
1348,"agegp1",NA,2,NA,4
1349,"agegp2",1,1,NA,3
1351,"agegp3",NA,4,2,6
1352,"agegp3",NA,NA,2,NA
1353,"agegp3",1,2,7,2
1354,"agegp3",NA,NA,3,3
1355,"agegp3",NA,1,7,2
1357,"agegp2",NA,NA,NA,2
1358,"agegp2",1,4,NA,4
1359,"agegp2",1,2,NA,6
1360,"agegp2",2,4,NA,3
1362,"agegp3",NA,NA,8,4
1363,"agegp3",NA,NA,1,1
1364,"agegp3",NA,1,3,2
1365,"agegp3",NA,NA,3,4
1366,"agegp3",NA,NA,14,3
1367,"agegp3",NA,NA,10,2
1368,"agegp3",NA,NA,9,1
1370,"agegp3",NA,NA,3,2
1371,"agegp1",NA,NA,NA,1
1372,"agegp2",NA,2,2,2
1373,"agegp2",NA,1,NA,3
1374,"agegp2",NA,1,1,1
1377,"agegp3",NA,1,3,3
1378,"agegp3",NA,NA,5,3
1379,"agegp3",NA,NA,4,2
1381,"agegp1",NA,NA,1,5
1382,"agegp2",NA,2,2,4
1383,"agegp2",NA,2,NA,3
1387,"agegp3",1,4,3,5
1388,"agegp3",NA,1,3,6
1390,"agegp3",NA,2,2,10
1393,"agegp3",NA,1,2,2
1394,"agegp3",NA,NA,1,NA
1395,"agegp3",NA,1,NA,5
1396,"agegp2",1,8,1,6
1399,"agegp3",NA,2,12,3
1401,"agegp3",NA,NA,5,1
1403,"agegp3",NA,1,8,2
1404,"agegp3",NA,NA,2,5
1406,"agegp2",NA,1,2,5
1407,"agegp2",NA,NA,1,6
1409,"agegp3",NA,NA,5,1
1412,"agegp3",NA,NA,2,3
1413,"agegp3",NA,NA,3,2
1414,"agegp3",NA,NA,1,2
1415,"agegp3",NA,2,7,3
1417,"agegp3",NA,2,NA,2
1420,"agegp3",NA,NA,5,6
2003,"agegp2",NA,1,3,2
2004,"agegp2",NA,3,1,3
2005,"agegp3",NA,NA,11,1
2009,"agegp3",NA,1,1,2
2010,"agegp2",NA,4,1,3
2022,"agegp3",NA,NA,5,1
2023,"agegp3",NA,NA,1,2
2024,"agegp3",NA,NA,NA,2
2025,"agegp3",NA,NA,1,2
2026,"agegp3",NA,NA,NA,2
2028,"agegp3",NA,NA,17,8
2031,"agegp3",NA,NA,5,2
2041,"agegp4",NA,NA,NA,2
2045,"agegp4",NA,NA,NA,1
2051,"agegp4",NA,NA,NA,4
2057,"agegp4",NA,NA,NA,1
2059,"agegp4",NA,NA,1,2
2060,"agegp4",NA,NA,NA,3
2061,"agegp4",1,NA,1,2
2066,"agegp4",NA,NA,NA,2
2067,"agegp4",NA,NA,NA,6
2068,"agegp4",NA,1,NA,1
2073,"agegp4",NA,NA,NA,3
2074,"agegp4",NA,1,1,NA
2075,"agegp4",NA,NA,NA,1
2082,"agegp4",NA,NA,NA,2
2084,"agegp4",NA,NA,4,NA
2085,"agegp4",NA,NA,NA,3
2086,"agegp4",NA,NA,NA,2
2087,"agegp4",NA,NA,NA,1
2089,"agegp4",NA,NA,2,1
2112,"agegp3",NA,1,5,4
2122,"agegp4",NA,NA,2,2
2202,"agegp3",NA,NA,NA,3
2222,"agegp4",NA,1,1,2
2230,"agegp3",NA,2,3,3
2251,"agegp3",NA,NA,3,6
2430,"agegp3",NA,NA,6,1
2705,"agegp3",NA,NA,7,5
4003,"agegp2",NA,NA,6,3
4005,"agegp2",NA,NA,NA,3
4006,"agegp2",NA,NA,NA,2
4007,"agegp2",NA,4,8,2
4008,"agegp2",NA,1,NA,2
4010,"agegp2",NA,1,NA,2
4012,"agegp2",NA,8,NA,9
4014,"agegp2",NA,1,1,1
4017,"agegp2",NA,2,3,4
4018,"agegp2",NA,2,NA,5
4019,"agegp2",NA,NA,NA,2
4021,"agegp2",NA,NA,2,3
4024,"agegp3",NA,1,2,4
4028,"agegp3",NA,1,1,NA
4029,"agegp3",NA,1,2,4
4030,"agegp3",NA,NA,8,4
4031,"agegp3",1,NA,16,3
4036,"agegp2",NA,4,1,3
4043,"agegp3",NA,1,2,2
4045,"agegp2",NA,NA,NA,3
4102,"agegp3",NA,NA,2,1
4108,"agegp3",NA,9,NA,1
4110,"agegp4",NA,NA,NA,4
4113,"agegp4",NA,1,NA,2
4114,"agegp4",NA,1,2,9
4115,"agegp4",1,1,1,8
4117,"agegp4",NA,NA,NA,3
4120,"agegp4",NA,NA,NA,4
4135,"agegp4",NA,1,NA,1
4138,"agegp4",NA,NA,NA,13
4139,"agegp4",NA,2,NA,2
4142,"agegp4",NA,NA,2,5
4146,"agegp4",NA,2,NA,3
4147,"agegp4",NA,NA,NA,1
4156,"agegp4",1,NA,NA,6
4157,"agegp4",NA,NA,NA,3
4158,"agegp4",NA,NA,NA,2
4160,"agegp4",NA,NA,NA,5
4163,"agegp4",NA,NA,NA,1
4166,"agegp4",NA,NA,2,2
4167,"agegp4",NA,NA,2,2
4168,"agegp4",NA,NA,1,2
4169,"agegp4",1,NA,1,1
4171,"agegp4",NA,1,NA,3
5111,"agegp4",NA,1,2,1
5234,"agegp4",NA,NA,2,5
6001,"agegp3",NA,NA,3,1
6002,"agegp4",NA,1,2,1
6003,"agegp4",NA,NA,3,1
6004,"agegp4",NA,NA,NA,1
6005,"agegp4",NA,1,1,1
6006,"agegp4",NA,NA,NA,1
6007,"agegp4",NA,NA,NA,6
6008,"agegp4",NA,NA,2,4
