"local_id","p_agegp","agegp1","agegp2","agegp3","agegp4"
276,"agegp4",NA,1,NA,1
279,"agegp4",NA,NA,NA,2
280,"agegp4",NA,NA,NA,11
281,"agegp4",NA,NA,NA,1
286,"agegp4",NA,NA,1,1
287,"agegp4",NA,NA,NA,3
292,"agegp4",NA,NA,NA,1
293,"agegp4",NA,NA,NA,2
295,"agegp4",NA,NA,NA,3
296,"agegp4",NA,NA,NA,1
297,"agegp4",NA,NA,1,1
298,"agegp4",NA,2,2,17
299,"agegp4",NA,NA,NA,6
301,"agegp4",1,1,NA,NA
302,"agegp4",NA,NA,NA,1
303,"agegp4",NA,NA,1,NA
305,"agegp4",NA,NA,NA,1
306,"agegp4",NA,NA,NA,8
308,"agegp4",NA,1,4,3
309,"agegp4",NA,NA,NA,7
310,"agegp4",NA,NA,NA,3
311,"agegp4",NA,NA,NA,8
313,"agegp4",NA,NA,NA,6
314,"agegp4",NA,NA,2,1
315,"agegp4",NA,NA,1,1
316,"agegp4",NA,NA,NA,2
317,"agegp4",NA,NA,NA,1
318,"agegp4",NA,NA,1,7
322,"agegp4",NA,NA,1,1
323,"agegp4",NA,NA,2,1
324,"agegp4",NA,NA,NA,7
325,"agegp4",NA,NA,NA,7
326,"agegp4",NA,NA,1,1
327,"agegp4",NA,NA,NA,2
328,"agegp4",1,NA,NA,1
329,"agegp4",NA,1,NA,3
330,"agegp4",NA,NA,NA,1
331,"agegp4",NA,2,1,2
332,"agegp4",NA,NA,NA,1
335,"agegp4",NA,6,1,5
340,"agegp4",NA,NA,NA,2
343,"agegp4",NA,NA,1,NA
348,"agegp4",NA,NA,NA,1
349,"agegp4",NA,NA,NA,1
351,"agegp4",NA,1,NA,1
354,"agegp4",NA,NA,NA,1
355,"agegp4",NA,NA,2,NA
356,"agegp4",NA,NA,NA,5
357,"agegp4",NA,NA,NA,6
358,"agegp4",NA,NA,NA,7
359,"agegp4",NA,1,1,NA
360,"agegp4",NA,NA,NA,3
361,"agegp4",NA,NA,NA,1
365,"agegp4",NA,NA,1,4
366,"agegp4",NA,NA,NA,9
368,"agegp4",NA,1,NA,2
371,"agegp4",NA,NA,NA,3
373,"agegp4",NA,NA,NA,9
374,"agegp4",NA,NA,1,3
376,"agegp4",NA,8,2,1
377,"agegp4",NA,1,1,1
378,"agegp4",2,NA,2,3
381,"agegp4",NA,NA,1,NA
382,"agegp4",NA,NA,NA,1
383,"agegp4",NA,1,NA,11
384,"agegp4",NA,2,2,1
385,"agegp4",NA,NA,NA,1
386,"agegp4",NA,2,2,3
390,"agegp4",NA,1,1,1
391,"agegp4",NA,NA,NA,4
396,"agegp4",NA,NA,NA,7
399,"agegp4",NA,NA,NA,1
402,"agegp4",NA,NA,5,4
405,"agegp4",1,4,NA,5
406,"agegp4",NA,NA,NA,3
407,"agegp4",NA,NA,NA,4
409,"agegp4",NA,NA,NA,3
410,"agegp4",NA,NA,NA,4
411,"agegp4",NA,2,1,2
412,"agegp4",NA,2,NA,1
413,"agegp4",NA,2,2,1
415,"agegp4",NA,NA,2,14
416,"agegp4",NA,NA,2,2
417,"agegp4",NA,NA,NA,5
419,"agegp4",NA,1,NA,3
420,"agegp4",NA,NA,NA,3
422,"agegp4",NA,NA,NA,1
423,"agegp4",NA,NA,NA,1
424,"agegp4",NA,NA,NA,3
425,"agegp4",NA,NA,NA,1
426,"agegp4",NA,NA,NA,1
430,"agegp4",NA,NA,NA,8
431,"agegp4",NA,NA,2,8
432,"agegp4",NA,NA,NA,5
434,"agegp4",NA,1,1,1
435,"agegp4",NA,NA,NA,2
440,"agegp4",NA,NA,2,3
441,"agegp4",NA,2,NA,4
442,"agegp4",NA,NA,1,2
443,"agegp4",NA,2,NA,4
444,"agegp4",NA,NA,2,1
445,"agegp4",NA,NA,2,2
446,"agegp4",NA,NA,NA,2
447,"agegp4",NA,NA,NA,1
448,"agegp4",NA,NA,NA,1
449,"agegp4",NA,NA,1,2
451,"agegp4",1,NA,NA,1
453,"agegp4",NA,NA,NA,2
454,"agegp4",NA,NA,3,13
455,"agegp4",NA,NA,3,1
456,"agegp4",NA,NA,NA,2
457,"agegp4",NA,1,1,2
462,"agegp4",NA,NA,NA,4
464,"agegp4",NA,1,NA,NA
465,"agegp4",NA,NA,2,10
467,"agegp4",NA,NA,NA,6
468,"agegp4",NA,NA,NA,3
469,"agegp4",NA,NA,NA,20
470,"agegp4",NA,NA,NA,3
472,"agegp4",NA,NA,NA,1
473,"agegp4",NA,NA,NA,1
474,"agegp4",NA,NA,NA,1
475,"agegp4",NA,NA,NA,5
477,"agegp4",1,1,1,3
478,"agegp4",NA,1,1,1
481,"agegp4",NA,NA,1,NA
482,"agegp4",NA,NA,1,1
483,"agegp4",NA,NA,NA,1
484,"agegp4",NA,NA,NA,1
485,"agegp4",NA,NA,NA,4
488,"agegp4",NA,NA,NA,2
490,"agegp4",NA,NA,NA,2
492,"agegp4",NA,NA,2,1
496,"agegp4",NA,1,NA,1
498,"agegp4",NA,NA,NA,1
499,"agegp4",NA,NA,NA,9
501,"agegp4",NA,NA,NA,2
505,"agegp4",NA,NA,NA,3
507,"agegp4",NA,1,1,1
508,"agegp4",NA,1,2,2
509,"agegp4",NA,1,NA,1
510,"agegp4",NA,NA,2,1
512,"agegp4",NA,3,2,5
513,"agegp4",NA,NA,NA,6
514,"agegp4",NA,NA,3,6
515,"agegp4",NA,1,1,1
516,"agegp4",NA,NA,NA,3
517,"agegp4",NA,NA,NA,1
518,"agegp4",NA,NA,2,3
519,"agegp4",NA,NA,1,2
520,"agegp4",NA,1,1,1
521,"agegp4",NA,NA,2,1
522,"agegp4",NA,NA,NA,1
523,"agegp4",NA,NA,2,1
524,"agegp4",NA,NA,NA,1
526,"agegp4",NA,NA,NA,3
528,"agegp4",NA,NA,NA,5
530,"agegp4",NA,NA,NA,1
531,"agegp4",NA,NA,NA,1
533,"agegp4",NA,1,NA,1
534,"agegp4",NA,NA,NA,3
536,"agegp4",NA,NA,2,6
538,"agegp4",NA,NA,1,6
542,"agegp4",NA,2,NA,3
543,"agegp4",NA,NA,2,4
544,"agegp4",NA,NA,1,1
548,"agegp4",NA,NA,NA,1
551,"agegp4",NA,NA,NA,1
552,"agegp4",NA,NA,NA,1
555,"agegp4",NA,NA,NA,1
557,"agegp4",NA,NA,NA,1
560,"agegp4",NA,NA,NA,5
562,"agegp4",NA,NA,NA,5
564,"agegp4",NA,NA,NA,1
565,"agegp4",NA,NA,NA,1
566,"agegp4",NA,NA,NA,5
569,"agegp4",NA,1,NA,5
570,"agegp4",NA,NA,NA,1
571,"agegp4",NA,3,NA,3
572,"agegp4",NA,NA,NA,1
574,"agegp4",NA,NA,NA,2
